icao,departure_from,departure_time,arrival_time,terminal,gate,baggage_belt,flight_number,airline,aircraft
EHAM,Istanbul,2024-11-03 12:35Z,2024-11-03 16:30Z,3,G9,16,PC 1259,Pegasus,Airbus A320 (Sharklets)
EHAM,Unknown,,2024-11-03 16:10Z,4,,19,EC 9908,EasyJet Europe,Airbus A319
EHAM,Unknown,,2024-11-03 16:10Z,4,,19,U2 9908,easyJet,Airbus A319
EHAM,Budapest,2024-11-03 14:00Z,2024-11-03 16:10Z,2,A4,11,SK 6749,SAS,Embraer 190
EHAM,Budapest,2024-11-03 14:00Z,2024-11-03 16:10Z,2,A4,11,DL 9523,Delta Air Lines,Embraer 190
EHAM,Budapest,2024-11-03 14:00Z,2024-11-03 16:10Z,2,A4,11,KL 1370,KLM,Embraer 190
EHAM,Unknown,,2024-11-03 16:10Z,2,A4,11,MF 9369,Xiamen,Embraer 190
EHAM,Unknown,,2024-11-03 16:10Z,2,A4,11,MU 1656,China Eastern,Embraer 190
EHAM,Shanghai,2024-11-03 04:35Z,2024-11-03 16:45Z,3,E24,17,MU 771,China Eastern,Boeing 777
EHAM,London,2024-11-03 15:00Z,2024-11-03 16:20Z,3,,16,U2 8683,easyJet,Airbus A319
EHAM,Unknown,,2024-11-03 16:25Z,1,C14,2,KL 2606,KLM,Boeing 737-800
EHAM,Porto,2024-11-03 13:45Z,2024-11-03 16:25Z,1,C14,2,HV 6002,Transavia,Boeing 737-800
EHAM,Belfast,2024-11-03 14:45Z,2024-11-03 16:20Z,4,G2,19,U2 3051,easyJet,Airbus A319
EHAM,Manchester,2024-11-03 15:10Z,2024-11-03 16:30Z,4,,22,EC 7852,EasyJet Europe,Airbus A319
EHAM,Manchester,2024-11-03 15:10Z,2024-11-03 16:30Z,4,,22,U2 7852,easyJet,Airbus A319
EHAM,London,2024-11-03 15:05Z,2024-11-03 16:30Z,1,,4,BA 436,British,Airbus A321-200 (Sharklets)
EHAM,London,2024-11-03 15:30Z,2024-11-03 16:35Z,1,,6,BA 8455,British,Embraer 190
EHAM,Unknown,,2024-11-03 16:25Z,2,,10,SK 6624,SAS,Embraer 175
EHAM,Unknown,,2024-11-03 16:25Z,2,,10,KQ 1342,Kenya,Embraer 175
EHAM,Unknown,,2024-11-03 16:25Z,2,,10,DL 9573,Delta Air Lines,Embraer 175
EHAM,Unknown,,2024-11-03 16:25Z,2,,10,EY 7318,Etihad,Embraer 175
EHAM,Billund,2024-11-03 15:15Z,2024-11-03 16:25Z,2,,10,KL 1342,KLM,Embraer 175
EHAM,Beijing,2024-11-03 05:45Z,2024-11-03 17:00Z,3,E19,17,CZ 345,China Southern,Airbus A350-900
